Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
1998-99,30.0,SEA,NBA,PG,50.0,50.0,40.2,8.0,18.5,0.434,1.7,5.6,0.295,6.4,12.8,0.495,0.479,4.0,5.5,0.721,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7,Gary Payton
1999-00,31.0,SEA,NBA,PG,82.0,82.0,41.8,9.1,20.3,0.448,2.2,6.3,0.34,7.0,14.0,0.497,0.502,3.8,5.2,0.735,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2,24.2,Gary Payton
2000-01,32.0,SEA,NBA,PG,79.0,79.0,41.1,9.2,20.1,0.456,1.3,3.4,0.375,7.9,16.7,0.472,0.488,3.4,4.5,0.766,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1,Gary Payton
2001-02,33.0,SEA,NBA,PG,82.0,82.0,40.3,9.0,19.2,0.467,0.9,2.9,0.314,8.1,16.4,0.494,0.49,3.3,4.1,0.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2,22.1,Gary Payton
2002-03,34.0,TOT,NBA,PG,80.0,80.0,40.1,8.3,18.3,0.454,0.7,2.3,0.297,7.6,16.1,0.476,0.472,3.1,4.4,0.71,1.0,3.2,4.2,8.3,1.7,0.3,2.3,2.3,20.4,Gary Payton
2002-03,34.0,SEA,NBA,PG,52.0,52.0,40.8,8.5,19.1,0.448,0.7,2.2,0.298,7.9,16.9,0.467,0.465,3.1,4.5,0.692,1.1,3.7,4.8,8.8,1.8,0.2,2.5,2.3,20.8,Gary Payton
2002-03,34.0,MIL,NBA,PG,28.0,28.0,38.8,7.9,16.9,0.466,0.7,2.4,0.294,7.2,14.5,0.495,0.487,3.1,4.2,0.746,0.8,2.3,3.1,7.4,1.4,0.3,2.0,2.3,19.6,Gary Payton
2003-04,35.0,LAL,NBA,PG,82.0,82.0,34.5,5.9,12.5,0.471,0.7,2.0,0.333,5.2,10.5,0.497,0.498,2.2,3.1,0.714,0.9,3.3,4.2,5.5,1.2,0.2,1.8,2.1,14.6,Gary Payton
2004-05,36.0,BOS,NBA,PG,77.0,77.0,33.0,4.4,9.4,0.468,0.5,1.7,0.326,3.9,7.7,0.498,0.497,2.0,2.6,0.761,0.6,2.4,3.1,6.1,1.1,0.2,1.9,1.6,11.3,Gary Payton
2005-06,37.0,MIA,NBA,PG,81.0,25.0,28.5,2.8,6.8,0.42,0.8,2.8,0.287,2.0,3.9,0.517,0.481,1.2,1.6,0.794,0.4,2.5,2.9,3.2,0.9,0.1,1.3,2.1,7.7,Gary Payton
2006-07,38.0,MIA,NBA,PG,68.0,28.0,22.1,2.1,5.4,0.393,0.5,1.8,0.26,1.6,3.6,0.461,0.437,0.6,0.8,0.667,0.3,1.7,1.9,3.0,0.6,0.0,1.0,1.7,5.3,Gary Payton
1979-80,23.0,BOS,NBA,PF,82,82,36.0,8.5,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.481,0.494,3.7,4.4,0.836,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3,Larry Bird
1980-81,24.0,BOS,NBA,PF,82,82,39.5,8.8,18.3,0.478,0.2,0.9,0.27,8.5,17.4,0.489,0.485,3.5,4.0,0.863,2.3,8.6,10.9,5.5,2.0,0.8,3.5,2.9,21.2,Larry Bird
1981-82,25.0,BOS,NBA,PF,77,58,38.0,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,Larry Bird
1982-83,26.0,BOS,NBA,PF,79,79,37.7,9.5,18.7,0.504,0.3,1.0,0.286,9.2,17.8,0.516,0.512,4.4,5.3,0.84,2.4,8.6,11.0,5.8,1.9,0.9,3.0,2.5,23.6,Larry Bird
1983-84,27.0,BOS,NBA,PF,79,77,38.3,9.6,19.5,0.492,0.2,0.9,0.247,9.4,18.6,0.504,0.497,4.7,5.3,0.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2,Larry Bird
1984-85,28.0,BOS,NBA,SF,80,77,39.5,11.5,22.0,0.522,0.7,1.6,0.427,10.8,20.4,0.529,0.538,5.0,5.7,0.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,Larry Bird
1985-86,29.0,BOS,NBA,SF,82,81,38.0,9.7,19.6,0.496,1.0,2.4,0.423,8.7,17.2,0.506,0.521,5.4,6.0,0.896,2.3,7.5,9.8,6.8,2.0,0.6,3.2,2.2,25.8,Larry Bird
1986-87,30.0,BOS,NBA,SF,74,73,40.6,10.6,20.2,0.525,1.2,3.0,0.4,9.4,17.2,0.547,0.555,5.6,6.1,0.91,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1,Larry Bird
1987-88,31.0,BOS,NBA,SF,76,75,39.0,11.6,22.0,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6.0,0.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,Larry Bird
1988-89,32.0,BOS,NBA,SF,6,6,31.5,8.2,17.3,0.471,0.0,0.0,,8.2,17.3,0.471,0.471,3.0,3.2,0.947,0.2,6.0,6.2,4.8,1.0,0.8,1.8,3.0,19.3,Larry Bird
1989-90,33.0,BOS,NBA,SF,75,75,39.3,9.6,20.2,0.473,0.9,2.6,0.333,8.7,17.6,0.494,0.495,4.3,4.6,0.93,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3,Larry Bird
1990-91,34.0,BOS,NBA,SF,60,60,38.0,7.7,17.0,0.454,1.3,3.3,0.389,6.4,13.7,0.47,0.492,2.7,3.1,0.891,0.9,7.6,8.5,7.2,1.8,1.0,3.1,2.0,19.4,Larry Bird
1991-92,35.0,BOS,NBA,SF,45,45,36.9,7.8,16.8,0.466,1.2,2.8,0.406,6.7,14.0,0.478,0.5,3.3,3.6,0.926,1.0,8.6,9.6,6.8,0.9,0.7,2.8,1.8,20.2,Larry Bird
1958-59,22.0,SYR,NBA,SG,68,,23.9,4.5,10.0,0.454,,,,,,,,2.0,2.6,0.778,,,2.9,1.5,,,,2.8,11.1,Hal Greer
1959-60,23.0,SYR,NBA,SG,70,,28.3,5.5,11.6,0.476,,,,,,,,2.1,2.7,0.783,,,4.3,2.7,,,,3.0,13.2,Hal Greer
1960-61,24.0,SYR,NBA,SG,79,,35.0,7.9,17.5,0.451,,,,,,,,3.9,5.0,0.774,,,5.8,3.8,,,,3.1,19.6,Hal Greer
